OBECJTID,COUNTY,SCHOOL,ADDRESS,ROLL_NUMBE,PHONE,ENROLLMENT,GENDER,GAELTACHT,DENOMINATI,DIOCESE,PARISH,EASTING_,NORTHING
699,Dublin Fingal,HOLMPATRICK N S,HOLMPATRICK  SKERRIES  CO. DUBLIN,14180H,01 8491409,93,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,325399.263,260513.896
748,Dublin City,ST COLUMBAS N S MXD,NORTH STRAND  DUBLIN 3,14463T,01 8556805,20,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,317076.948,235694.084
756,Dublin City,ST ENDAS PRIMARY SCHOOL,ST ENDAS PRIMARY SCHOOL  WHITEFRIAR ST  DUBLIN 8,14556D,01 4757566,154,Mixed,Ordinary School,CATHOLIC,DUBLIN,WHITEFRIAR STREET,315469.531,233608.734
760,Dun Laoghaire - Rathdown,CARYSFORT NS,CONVENT ROAD  BLACKROCK  CO DUBLIN,14586M,01 2885803,492,Mixed,Ordinary School,CATHOLIC,DUBLIN,BLACKROCK,321240.763,228945.622
769,Dun Laoghaire - Rathdown,DALKEY N S (2),DALKEY  CO DUBLIN,14647G,01 2803647,95,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,326574.799,227346.653
776,Dublin City,RATHGAR N S,RATHGAR  DUBLIN 6,14717B,01 4907661,96,Mixed,Ordinary School,METHODIST,DUBLIN & GLENDALOUGH,,314988.826,230670.619
801,Dublin City,ZION PARISH PRIMARY SCHOOL,BUSHY PARK ROAD  RATHGAR  DUBLIN 6,14917J,01 4910065,103,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,315055.725,229991.563
804,Dublin Belgard/South,RATHFARNHAM PARISH N S,WASHINGTON LANE  TEMPLEOGUE  DUBLIN 14,14939T,01 4943470,236,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,313177.539,228325.902
809,Dublin City,GLASNEVIN N S,BOTANIC AVENUE  GLASNEVIN  DUBLIN 9,14980Q,01 8373727,63,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,315362.311,237196.797
829,Dublin City,S N SAN VINSEANN CAILIN,NORTH WILLIAM ST  DUBLIN 1,15056L,01 8740048,211,Girls,Ordinary School,CATHOLIC,DUBLIN,SEAN MCDERMOTT STREET,316789.103,235538.624
837,Dun Laoghaire - Rathdown,HAROLD BOYS N S,DALKEY  CO DUBLIN,15132B,01 2856193,85,Boys,Ordinary School,CATHOLIC,DUBLIN,DALKEY,326540.472,226991.827
853,Dublin City,ST PATRICKS GIRLS NS,CAMBRIDGE ROAD  DUBLIN 4,15253N,01 6685928,121,Girls,Ordinary School,CATHOLIC,DUBLIN,RINGSEND,318225.906,234008.031
859,Dun Laoghaire - Rathdown,TANEY N S,SYDENHAM VILLAS  DUNDRUM  DUBLIN 14,15284B,01 2985015,468,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,317535.889,227909.021
867,Dublin Fingal,ST GEORGES N S,ST GEORGES N S  HAMPTON STREET  BALBRIGGAN  CO. DUBLIN,15315J,01 8412489,58,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,320549.120,263496.486
922,Dublin Fingal,SCOIL MOIBHI,MILVERTON  SKERRIES  CO DUBLIN,15569R,01 8492467,67,Mixed,Ordinary School,CATHOLIC,DUBLIN,SKERRIES,322788.031,258768.719
930,Dublin City,SANDFORD N S,RANELAGH  DUBLIN 6,15618E,01 4974277,236,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,316787.679,231472.878
931,Dublin City,ST PATRICKS NS,CHAPELIZOD VILLAGE  CHAPELIZOD  DUBLIN 20,15622S,01 6265752,207,Mixed,Ordinary School,CATHOLIC,DUBLIN,CHAPELIZOD,310372.533,234403.349
932,Dublin City,ST CATHERINES WEST N S,DONORE AVENUE  SOUTH CIRCULAR ROAD  DUBLIN 8,15625B,01 4542679,87,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,314423.667,232783.322
939,Dublin Fingal,CORDUFF N S,LUSK  CO DUBLIN,15650A,01 8438274,92,Mixed,Ordinary School,CATHOLIC,DUBLIN,LUSK,320064.656,253363.609
960,Dublin City,ST VINCENTS INF BOYS,NORTH WILLIAM STREET  DUBLIN 1,15816I,01 8363074,119,Boys,Ordinary School,CATHOLIC,DUBLIN,SEAN MCDERMOTT STREET,316775.671,235501.249
966,Dublin City,DRUMCONDRA N S,CHURCH AVENUE  DRUMCONDRA  DUBLIN 9,15895H,01 8374886,40,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,316564.413,236854.312
988,Dublin City,CANON O HANLON MEMORIAL N S,SANDYMOUNT  DUBLIN 4,15995L,01 6686394,295,Boys,Ordinary School,CATHOLIC,DUBLIN,SANDYMOUNT,318710.240,233197.095
1040,Dublin City,LINDSAY ROAD N S,LINDSAY ROAD  GLASNEVIN  DUBLIN 9,16177F,01 8600247,72,Mixed,Ordinary School,PRESBYTERIAN,DUBLIN & GLENDALOUGH,,315563.328,236344.264
1056,Dublin Fingal,ST PATRICKS BOYS NATIONAL SCHOOL,PORTRANE ROAD  DONABATE  CO. DUBLIN,16267G,01 8436168,331,Boys,Ordinary School,CATHOLIC,DUBLIN,DONABATE,323742.813,250785.859
1073,Dublin Fingal,ST PATRICKS SNR MIXED,SKERRIES  CO DUBLIN,16332O,01 8490945,360,Mixed,Ordinary School,CATHOLIC,DUBLIN,SKERRIES,325224.100,260319.901
1074,Dublin Fingal,ST PATRICKS JNR MIXED,SKERRIES  CO DUBLIN,16333Q,01 8490836,345,Mixed,Ordinary School,CATHOLIC,DUBLIN,SKERRIES,325146.996,260333.845
1082,Dun Laoghaire - Rathdown,ST BRIGIDS BOYS N S,FOXROCK  DUBLIN 18,16352U,01 2893199,459,Boys,Ordinary School,CATHOLIC,DUBLIN,FOXROCK,322194.096,225819.283
1083,Dun Laoghaire - Rathdown,ST BRIGIDS GIRLS N S,FOXROCK  DUBLIN 18,16353W,01 2847422,516,Girls,Ordinary School,CATHOLIC,DUBLIN,FOXROCK,322194.096,225819.283
1103,Dublin Belgard/South,CAISLEAIN NUA LIAMHNA,NEWCASTLE LYONS  CO DUBLIN,16461C,01 4580114,249,Mixed,Ordinary School,CATHOLIC,DUBLIN,NEWCASTLE,299905.688,228734.000
1117,Dublin City,ST BRIGIDS CONVENT N S,HADDINGTON ROAD  DUBLIN 4,16567S,01 6681155,256,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,HADDINGTON ROAD,317249.343,232978.559
1119,Dublin City,ST BRIGIDS CONVENT,GLASNEVIN  DUBLIN 11,16577V,01 8376653,465,Girls,Ordinary School,CATHOLIC,DUBLIN,GLASNEVIN,314809.099,237658.011
1129,Dun Laoghaire - Rathdown,KILTERNAN CHURCH OF IRELAND NS,KILTERNAN  CO DUBLIN,16629O,01 2953235,152,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,320205.000,222861.547
1138,Dublin City,ST CLARES CONVENT N S,HAROLDS CROSS ROAD  DUBLIN 6W,16651H,01 4963237,267,Mixed,Ordinary School,CATHOLIC,DUBLIN,HAROLD'S CROSS,314938.310,232059.436
1141,Dublin City,ST COLUMBAS CON G & I,IONA ROAD  GLASNEVIN  DUBLIN 9,16659A,01 8305040,391,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,IONA ROAD,315640.673,236553.521
1148,Dublin Fingal,MULHUDDART NS,MULHUDDART  VILLAGE  DUBLIN 15,16675V,01 8210623,111,Mixed,Ordinary School,CATHOLIC,DUBLIN,BLANCHARDSTOWN,306725.563,240229.689
1154,Dublin City,SCOIL NA MBRATHAR,NORTH BRUNSWICK STREET  DUBLIN 7,16695E,01 8722167,180,Boys,Ordinary School,CATHOLIC,DUBLIN,HALSTON STREET & ARRAN QUAY,314802.908,234723.267
1175,Dublin City,ST VINCENTS CONVENT INF N S,67 GRIFFITH AVENUE  DUBLIN 9,16754R,01 8334538,364,Mixed,Ordinary School,CATHOLIC,DUBLIN,MARINO,317835.000,236976.000
1177,Dublin City,S N MHUIRE NA MBRATHAR,MARINO  DUBLIN 9,16759E,01 8336421,305,Boys,Ordinary School,CATHOLIC,DUBLIN,MARINO,317698.000,237047.000
1189,Dublin City,ST BRIGIDS CONVENT N S,THE COOMBE  DUBLIN 8,16786H,01 4547734,215,Senior Girls/Infant Mixed,Ordinary School,CATHOLIC,DUBLIN,FRANCIS STREET,314983.274,233449.532
1192,Dublin City,ST BRIGIDS CONVENT N S,KILLESTER  DUBLIN 5,16792C,01 8315138,421,Girls,Ordinary School,CATHOLIC,DUBLIN,KILLESTER,319454.686,237962.853
1194,Dun Laoghaire - Rathdown,ST BRIGIDS N S,MERVILLE  RD  STILLORGAN  BLACKROCK.  CO. DUBLIN,16794G,01 2833095,90,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,320316.657,227600.746
1218,Dublin Fingal,SCOIL N. BREANDAN,LOUGHSHINNY  SKERRIES  CO DUBLIN,16844S,01 8490394,219,Mixed,Ordinary School,CATHOLIC,DUBLIN,RUSH,326010.875,256909.422
1224,Dublin City,CORPUS CHRISTI N S,HOME FARM ROAD  DRUMCONDRA  DUBLIN 9,16860Q,01 8379745,394,Girls,Ordinary School,CATHOLIC,DUBLIN,DRUMCONDRA,316021.300,237463.673
1271,Dublin City,SCOIL MHUIRE OGH 1,LORETO COLLEGE  CRUMLIN RD  DUBLIN 12,16964F,01 4541669,188,Girls,Ordinary School,CATHOLIC,DUBLIN,DOLPHIN'S BARN,313463.519,232384.228
1272,Dublin City,SCOIL NAISIUNTA STRATFORD,1 ZION ROAD  RATHGAR  DUBLIN 6,16966J,01 4922315,94,Mixed,Ordinary School,JEWISH,,,315039.442,230179.406
1273,Dublin Fingal,ST MOLAGA SENIOR NS,BREMORE  BALBRIGGAN  CO DUBLIN,16970A,01 8413133,432,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALBRIGGAN,319802.000,264392.000
1274,Dublin Fingal,S N PEADAR AGUS POL N,BALBRIGGAN  CO DUBLIN,16972E,01 8412670,459,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALBRIGGAN,319946.307,263741.102
1279,Dublin City,CHRIST THE KING B N S,CABRA  DUBLIN 7,16988T,01 8680503,119,Boys,Ordinary School,CATHOLIC,DUBLIN,CABRA,314203.000,236165.000
1306,Dublin Belgard/South,S N  NAOMH MHUIRE,SAGGART  CO DUBLIN,17055T,01 4580922,184,Mixed,Ordinary School,CATHOLIC,DUBLIN,SAGGART,303834.438,226478.859
1319,Dublin City,S N MUIRE GAN SMAL B,INCHICORE  DUBLIN 8,17083B,01 4541641,268,Mixed,Ordinary School,CATHOLIC,DUBLIN,"INCHICORE,MARY IMMACULATE",311618.465,233214.146
1335,Dublin City,ST FRANCIS JUNIOR NATIONAL SCHOOL,PRIORSWOOD  DUBLIN 17,17104G,01 8470804,229,Mixed,Ordinary School,CATHOLIC,DUBLIN,PRIORSWOOD,319436.823,240741.158
1338,Dublin City,NAOMH LORCAN O TUATHAIL,PLAS SEIBHIL  BAILE ATHA CLIATH 1,17110B,01 8363490,72,Boys,Ordinary School,CATHOLIC,DUBLIN,SEVILLE PLACE,316992.000,235069.000
1356,Dublin City,S N EOIN BAISDE G SEN,SEAFIELD ROAD  CLONTARF  DUBLIN 3,17148D,01 8331888,423,Girls,Ordinary School,CATHOLIC,DUBLIN,"CLONTARF,ST JOHN'S",320044.822,236315.231
1385,Dublin City,CLOCHAR LUGHAIDH CAILIN,WILLIAMS PARK  RATHMINES  DUBLIN 6,17210F,01 4976098,351,Mixed,Ordinary School,CATHOLIC,DUBLIN,RATHMINES,315417.905,231842.730
1386,Dublin City,CLOCHAR LUGHAIDH NAOIDH,WILLIAMS PARK  RATHMINES  DUBLIN 6,17211H,01 4972188,289,Mixed,Ordinary School,CATHOLIC,DUBLIN,RATHMINES,315482.656,231859.813
1389,Dublin City,SAN UINSIONN C B S,GLASNEVIN  DUBLIN 9,17214N,01 8302328,339,Boys,Ordinary School,CATHOLIC,DUBLIN,IONA ROAD,314873.623,236634.949
1413,Dublin Fingal,S N MUIRE AN SEAN BAILE,SEAN BHAILE  CO DUBLIN,17263D,01 8433420,40,Mixed,Ordinary School,CATHOLIC,DUBLIN,ROLESTOWN,311566.531,254016.828
1423,Dublin City,SCOIL MUIRE,HADDINGTON ROAD  DUBLIN 4,17279S,01 6603742,136,Boys,Ordinary School,CATHOLIC,DUBLIN,HADDINGTON ROAD,317227.932,232975.591
1428,Dublin Fingal,BALDOYLE B N S,SCOIL NAISIUNTA BAILE DUILL  BR CLOCHAISE  BAILE DUBHGHAILL  ATH CLIATH 13.,17284L,01 8322938,233,Boys,Ordinary School,CATHOLIC,DUBLIN,BALDOYLE,324249.266,240074.457
1444,Dublin City,SCOIL AN LEINBH IOSA B,LARKHILL  WHITEHALL  DUBLIN 9,17318C,01 8372472,236,Boys,Ordinary School,CATHOLIC,DUBLIN,LARKHILL-WHITEHALL,316750.014,238593.382
1445,Dublin City,AN LEINBH IOSA CAILINI,LARKHILL  WHITEHALL  DUBLIN 9,17319E,01 8377384,182,Girls,Ordinary School,CATHOLIC,DUBLIN,LARKHILL-WHITEHALL,316812.930,238717.302
1446,Dublin City,AN LEINBH IOSA NAOIDHIN,LARKHILL  WHITEHALL  DUBLIN 9,17320M,01 8375870,173,Mixed,Ordinary School,CATHOLIC,DUBLIN,LARKHILL-WHITEHALL,316812.930,238717.302
1464,Dublin City,MUIRE NA DEA COIRLE G,MOURNE ROAD  DRIMNAGH  DUBLIN 12,17355I,01 4557011,177,Girls,Ordinary School,CATHOLIC,DUBLIN,MOURNE ROAD,312147.873,232373.847
1465,Dublin City,MUIRE NA DEA COIRLE INF,MOURNE ROAD  DUBLIN 12,17356K,01 4556594,219,Mixed,Ordinary School,CATHOLIC,DUBLIN,MOURNE ROAD,312147.873,232373.847
1474,Dublin City,SCOIL MHUIRE GNS,NAVAN ROAD  DUBLIN 7,17367P,01 8380471,438,Girls,Ordinary School,CATHOLIC,DUBLIN,NAVAN ROAD,312623.839,237003.980
1488,Dublin City,CHRIST THE KING I G,CABRA  DUBLIN 7,17459U,01 8680115,63,Girls,Ordinary School,CATHOLIC,DUBLIN,CABRA,314162.000,236173.000
1491,Dublin City,FIONNBARRA NAOFA,CABRA WEST  DUBLIN 7,17464N,01 8380060,115,Boys,Ordinary School,CATHOLIC,DUBLIN,CABRA WEST,313368.506,236760.661
1492,Dublin City,DOMINICAN CONVENT GIRLS,CABRA  DUBLIN 7,17465P,01 8387194,191,Girls,Ordinary School,CATHOLIC,DUBLIN,CABRA WEST,312623.839,237003.980
1493,Dublin City,ST CATHERINES INFANT SCHOOL,CABRA  DUBLIN 7,17466R,01 8684046,128,Mixed,Ordinary School,CATHOLIC,DUBLIN,CABRA WEST,312725.596,236881.127
1495,Dun Laoghaire - Rathdown,ST RAPHAELAS N S,UPPER KILMACUD ROAD  STILLORGAN  CO DUBLIN,17470I,01 2886878,226,Mixed,Ordinary School,CATHOLIC,DUBLIN,KILMACUD,318188.844,225197.906
1497,Dublin Fingal,BAILE FALBACH,LUSK  CO DUBLIN,17472M,01 8438372,54,Mixed,Ordinary School,CATHOLIC,DUBLIN,LUSK,318849.938,257116.359
1519,Dun Laoghaire - Rathdown,S N PADRAIG NAOFA,GLEANN CUILLIN  CILLTIGHEARNAIN  CO ATHA CLIATH,17507F,01 2954255,98,Mixed,Ordinary School,CATHOLIC,DUBLIN,SANDYFORD,319116.219,220556.188
1557,Dublin Fingal,S N MHUIRE,GARRISTOWN  CO DUBLIN,17559B,01 8354505,116,Mixed,Ordinary School,CATHOLIC,DUBLIN,GARRISTOWN,307056.040,258177.742
1565,Dublin Fingal,ST OLIVER PLUNKETT'S NS,BAILE AN RIDIRE  BAILE BRIGIN  CO ATHA CLIATH,17569E,01 8411494,320,Mixed,Ordinary School,CATHOLIC,DUBLIN,BALBRIGGAN,320178.031,261483.344
1578,Dublin Fingal,CILL COSCAIN,THE WARD  CO DUBLIN,17595F,01 8351508,71,Mixed,Ordinary School,CATHOLIC,DUBLIN,FINGLAS,309985.750,247209.328
1584,Dublin City,SCOIL IOSAGAIN,AUGHAVANNAGH ROAD  CRUMLIN  DUBLIN 12,17603B,01 4541821,127,Boys,Ordinary School,CATHOLIC,DUBLIN,CLOGHER ROAD,314154.162,232427.400
1635,Dublin City,MUIRE OG 2 LORETO CON,CRUMLIN ROAD  DUBLIN 12,17683C,01 4541746,282,Mixed,Ordinary School,CATHOLIC,DUBLIN,DOLPHIN'S BARN,313463.519,232384.228
1662,Dublin City,S N NA LANAI GLASA,SEAFIELD AVENUE  CLONTARF  DUBLIN 3,17730I,01 8331554,107,Mixed,Ordinary School,CHURCH OF IRELAND,DUBLIN & GLENDALOUGH,,320573.973,236524.481
1664,Dublin City,SCOIL CHIARAIN,ASCAL UI CHOILEAIN  DOMHNACH CAIRNE  BAILE ATHA CLIATH 5,17732M,01 8313072,88,Boys,Ordinary School,CATHOLIC,DUBLIN,DONNYCARNEY,318857.753,237437.227
1697,Dublin Fingal,SAN NIOCLAS MYRA,KINSEALY  DUBLIN 17,17785K,01 8464033,94,Mixed,Ordinary School,CATHOLIC,DUBLIN,KINSEALY,321309.500,242715.078
1715,Dublin Fingal,BRIGHDE NAOFA,BAILE ROTHLUIS  KILSALLAGHAN  CO DUBLIN,17820J,01 8404130,272,Mixed,Ordinary School,CATHOLIC,DUBLIN,ROLESTOWN,312274.157,250061.225
1749,Dublin City,SCOIL UI CHONAILL,NTH RICHMOND STREET  DUBLIN 1,17881G,01 8557517,150,Boys,Ordinary School,CATHOLIC,DUBLIN,SEAN MCDERMOTT STREET,316474.007,235605.084
1754,Dublin City,SCOIL MHUIRE,MOUNT SACKVILLE CONVENT  CHAPELIZOD  DUBLIN 20,17891J,01 8213105,249,Girls,Ordinary School,CATHOLIC,DUBLIN,CASTLEKNOCK,309999.893,234633.246
1755,Dublin City,SANCTA MARIA C B S,SYNGE ST  DUBLIN 8,17893N,01 4784316,119,Boys,Ordinary School,CATHOLIC,DUBLIN,HARRINGTON STREET,315417.282,232843.650
1757,Dublin Belgard/South,SCOIL CARMEL,TEACH GIUISE  TALLAGHT  DUBLIN 24,17899C,01 4514151,432,Mixed,Ordinary School,CATHOLIC,DUBLIN,FIRHOUSE,310942.024,227353.687
1764,Dublin City,S N EOIN BOSCO BUACH,NAVAN ROAD  DUBLIN 7,17912O,01 8380371,426,Boys,Ordinary School,CATHOLIC,DUBLIN,NAVAN ROAD,312271.006,236597.158
1766,Dublin Fingal,ST OLIVER PLUNKETT,ST OLIVER PLUNKETT NS  GROVE ROAD  MALAHIDE  CO DUBLIN,17914S,01 8452052,906,Mixed,Ordinary School,CATHOLIC,DUBLIN,MALAHIDE,322916.244,245606.603
1772,Dublin Fingal,SN N SAILBHEASTAR NFA,MALAHIDE  CO DUBLIN,17928G,01 8450061,337,Mixed,Ordinary School,CATHOLIC,DUBLIN,MALAHIDE,322067.000,245928.000
1777,Dublin City,S N EOIN BAISDE B SIN,SEAFIELD RD  CLONTARF  DUBLIN 3,17936F,01 8331852,340,Boys,Ordinary School,CATHOLIC,DUBLIN,"CLONTARF,ST ANTHONY'S",319916.252,236313.585
